filepath,filename,folder,language,discipline,tokens,sentences,pairs,tokens_per_sentence
conllu/conllu_file/en/Psy/Psy10_en.conllu,Psy10_en.conllu,conllu/conllu_file/en/Psy,en,Psy,1673,80,79,20.9125
conllu/conllu_file/en/Psy/Psy11_en.conllu,Psy11_en.conllu,conllu/conllu_file/en/Psy,en,Psy,2158,116,115,18.603448275862068
conllu/conllu_file/en/Psy/Psy12_en.conllu,Psy12_en.conllu,conllu/conllu_file/en/Psy,en,Psy,3520,225,224,15.644444444444444
conllu/conllu_file/en/Psy/Psy13_en.conllu,Psy13_en.conllu,conllu/conllu_file/en/Psy,en,Psy,3705,184,183,20.13586956521739
conllu/conllu_file/en/Psy/Psy14_en.conllu,Psy14_en.conllu,conllu/conllu_file/en/Psy,en,Psy,2803,145,144,19.33103448275862
conllu/conllu_file/en/Psy/Psy15_en.conllu,Psy15_en.conllu,conllu/conllu_file/en/Psy,en,Psy,2845,115,114,24.73913043478261
conllu/conllu_file/en/Psy/Psy16_en.conllu,Psy16_en.conllu,conllu/conllu_file/en/Psy,en,Psy,4404,265,264,16.618867924528303
conllu/conllu_file/en/Psy/Psy17_en.conllu,Psy17_en.conllu,conllu/conllu_file/en/Psy,en,Psy,4693,325,324,14.44
conllu/conllu_file/en/Psy/Psy1_en.conllu,Psy1_en.conllu,conllu/conllu_file/en/Psy,en,Psy,2426,129,128,18.8062015503876
conllu/conllu_file/en/Psy/Psy2_en.conllu,Psy2_en.conllu,conllu/conllu_file/en/Psy,en,Psy,2879,149,148,19.322147651006713
conllu/conllu_file/en/Psy/Psy3_en.conllu,Psy3_en.conllu,conllu/conllu_file/en/Psy,en,Psy,1958,132,131,14.833333333333334
conllu/conllu_file/en/Psy/Psy4_en.conllu,Psy4_en.conllu,conllu/conllu_file/en/Psy,en,Psy,2157,129,128,16.72093023255814
conllu/conllu_file/en/Psy/Psy5_en.conllu,Psy5_en.conllu,conllu/conllu_file/en/Psy,en,Psy,2310,106,105,21.79245283018868
conllu/conllu_file/en/Psy/Psy6_en.conllu,Psy6_en.conllu,conllu/conllu_file/en/Psy,en,Psy,1733,91,90,19.043956043956044
conllu/conllu_file/en/Psy/Psy7_en.conllu,Psy7_en.conllu,conllu/conllu_file/en/Psy,en,Psy,1381,85,84,16.24705882352941
conllu/conllu_file/en/Psy/Psy8_en.conllu,Psy8_en.conllu,conllu/conllu_file/en/Psy,en,Psy,2222,92,91,24.152173913043477
conllu/conllu_file/en/Psy/Psy9_en.conllu,Psy9_en.conllu,conllu/conllu_file/en/Psy,en,Psy,2102,103,102,20.40776699029126
